date       ,state   ,district ,pincode ,bio_age_5_17 ,bio_age_17_
24-07-2025 ,Haryana ,Hisar    , 125113 ,          23 ,         21
30-07-2025 ,Haryana ,Hisar    , 125049 ,          10 ,         15
30-07-2025 ,Haryana ,Hisar    , 125112 ,           3 ,          7
04-08-2025 ,Haryana ,Hisar    , 125038 ,           5 ,          3
04-08-2025 ,Haryana ,Hisar    , 125047 ,           8 ,         13
04-08-2025 ,Haryana ,Hisar    , 125113 ,          18 ,         24
04-08-2025 ,Haryana ,Hisar    , 125121 ,          54 ,         30
31-07-2025 ,Haryana ,Hisar    , 125004 ,           6 ,          1
31-07-2025 ,Haryana ,Hisar    , 125037 ,           1 ,          0
31-07-2025 ,Haryana ,Hisar    , 125044 ,          18 ,          7
07-08-2025 ,Haryana ,Hisar    , 125038 ,           0 ,         11
07-08-2025 ,Haryana ,Hisar    , 125113 ,          21 ,          9
10-08-2025 ,Haryana ,Hisar    , 125004 ,           3 ,          1
10-08-2025 ,Haryana ,Hisar    , 125033 ,           9 ,          2
11-08-2025 ,Haryana ,Hisar    , 125001 ,          92 ,        100
11-08-2025 ,Haryana ,Hisar    , 125005 ,           5 ,         10
11-08-2025 ,Haryana ,Hisar    , 125037 ,           3 ,          3
11-08-2025 ,Haryana ,Hisar    , 125047 ,          12 ,         14
11-08-2025 ,Haryana ,Hisar    , 125052 ,          52 ,         46
11-08-2025 ,Haryana ,Hisar    , 125112 ,          19 ,         15
11-08-2025 ,Haryana ,Hisar    , 125121 ,          55 ,         50
17-08-2025 ,Haryana ,Hisar    , 125039 ,           2 ,          2
15-08-2025 ,Haryana ,Hisar    , 125049 ,           1 ,          2
16-08-2025 ,Haryana ,Hisar    , 125006 ,           5 ,          1
16-08-2025 ,Haryana ,Hisar    , 125038 ,          45 ,         15
16-08-2025 ,Haryana ,Hisar    , 125113 ,           0 ,          1
16-08-2025 ,Haryana ,Hisar    , 125121 ,           3 ,          3
06-08-2025 ,Haryana ,Hisar    , 125006 ,           4 ,         10
06-08-2025 ,Haryana ,Hisar    , 125033 ,         103 ,         70
06-08-2025 ,Haryana ,Hisar    , 125047 ,          15 ,         19
06-08-2025 ,Haryana ,Hisar    , 125052 ,          52 ,         45
06-08-2025 ,Haryana ,Hisar    , 125113 ,          16 ,         12
06-08-2025 ,Haryana ,Hisar    , 125121 ,          54 ,         48
05-08-2025 ,Haryana ,Hisar    , 125039 ,          37 ,         36
05-08-2025 ,Haryana ,Hisar    , 125049 ,           3 ,         12
05-08-2025 ,Haryana ,Hisar    , 125055 ,           0 ,          1
08-08-2025 ,Haryana ,Hisar    , 125006 ,           0 ,          2
08-08-2025 ,Haryana ,Hisar    , 125039 ,          47 ,         26
08-08-2025 ,Haryana ,Hisar    , 125047 ,          10 ,          5
08-08-2025 ,Haryana ,Hisar    , 125053 ,           0 ,          1
09-08-2025 ,Haryana ,Hisar    , 125039 ,          10 ,          9
09-08-2025 ,Haryana ,Hisar    , 125047 ,           3 ,          3
14-08-2025 ,Haryana ,Hisar    , 125044 ,           6 ,          9
14-08-2025 ,Haryana ,Hisar    , 125050 ,           0 ,          1
14-08-2025 ,Haryana ,Hisar    , 125053 ,           1 ,          1
13-08-2025 ,Haryana ,Hisar    , 125006 ,           5 ,          3
13-08-2025 ,Haryana ,Hisar    , 125042 ,           4 ,         11
13-08-2025 ,Haryana ,Hisar    , 125048 ,           0 ,          1
21-07-2025 ,Haryana ,Hisar    , 125047 ,          14 ,          7
21-07-2025 ,Haryana ,Hisar    , 125049 ,           8 ,         12
28-07-2025 ,Haryana ,Hisar    , 125042 ,          22 ,         11
28-07-2025 ,Haryana ,Hisar    , 125048 ,           2 ,          0
22-07-2025 ,Haryana ,Hisar    , 125001 ,         106 ,         97
22-07-2025 ,Haryana ,Hisar    , 125004 ,           6 ,         10
