date,state,district,pincode,bio_age_5_17,bio_age_17_
11-12-2025,Sikkim,East Sikkim,737133,5,1
18-12-2025,Sikkim,East Sikkim,737102,2,0
17-12-2025,Sikkim,East Sikkim,737106,1,0
17-12-2025,Sikkim,East Sikkim,737107,1,1
19-12-2025,Sikkim,East Sikkim,737132,1,0
19-12-2025,Sikkim,East Sikkim,737135,1,0
23-12-2025,Sikkim,East Sikkim,737102,1,1
23-12-2025,Sikkim,East Sikkim,737103,0,1
24-12-2025,Sikkim,East Sikkim,737101,1,3
24-12-2025,Sikkim,East Sikkim,737102,0,1
26-12-2025,Sikkim,East Sikkim,737103,2,0
26-12-2025,Sikkim,East Sikkim,737133,0,1
26-12-2025,Sikkim,East Sikkim,737135,0,2
27-12-2025,Sikkim,East Sikkim,737101,2,0
03-01-2026,Sikkim,East Sikkim,737106,1,0
29-12-2025,Sikkim,East Sikkim,737134,0,1
02-01-2026,Sikkim,East Sikkim,737102,2,0
02-12-2025,Sikkim,East Sikkim,737107,0,1
07-12-2025,Sikkim,East Sikkim,737103,0,1
26-12-2025,Sikkim,East Sikkim,737106,0,1
26-12-2025,Sikkim,East Sikkim,737134,0,2
17-12-2025,Sikkim,East Sikkim,737132,0,2
19-12-2025,Sikkim,East Sikkim,737133,1,0
14-11-2025,Sikkim,East Sikkim,737133,0,1
19-11-2025,Sikkim,East Sikkim,737131,0,1
01-03-2025,Sikkim,East Sikkim,737107,20,9
01-03-2025,Sikkim,East Sikkim,737133,19,21
01-04-2025,Sikkim,East Sikkim,737135,34,31
01-05-2025,Sikkim,East Sikkim,737101,42,38
01-05-2025,Sikkim,East Sikkim,737102,35,34
01-06-2025,Sikkim,East Sikkim,737132,14,15
26-10-2025,Sikkim,East Sikkim,737103,2,1
24-10-2025,Sikkim,East Sikkim,737132,2,0
19-10-2025,Sikkim,East Sikkim,737138,2,0
31-10-2025,Sikkim,East Sikkim,737131,1,0
16-11-2025,Sikkim,East Sikkim,737101,1,0
16-12-2025,Sikkim,East Sikkim,737132,0,3
06-12-2025,Sikkim,East Sikkim,737134,0,8
06-12-2025,Sikkim,East Sikkim,737138,0,1
01-12-2025,Sikkim,East Sikkim,737132,0,3
29-11-2025,Sikkim,East Sikkim,737102,0,3
30-11-2025,Sikkim,East Sikkim,737134,0,1
17-11-2025,Sikkim,East Sikkim,737134,0,7
18-11-2025,Sikkim,East Sikkim,737131,0,1
18-11-2025,Sikkim,East Sikkim,737138,0,1
08-11-2025,Sikkim,East Sikkim,737101,1,1
02-11-2025,Sikkim,East Sikkim,737101,1,1
06-11-2025,Sikkim,East Sikkim,737131,0,2
28-10-2025,Sikkim,East Sikkim,737106,3,0
30-10-2025,Sikkim,East Sikkim,737107,0,1
27-10-2025,Sikkim,East Sikkim,737131,0,3
16-07-2025,Sikkim,East Sikkim,737138,1,1
15-07-2025,Sikkim,East Sikkim,737135,0,6
26-07-2025,Sikkim,East Sikkim,737133,0,2
05-08-2025,Sikkim,East Sikkim,737107,0,1
08-08-2025,Sikkim,East Sikkim,737134,0,1
13-08-2025,Sikkim,East Sikkim,737102,0,4
13-08-2025,Sikkim,East Sikkim,737133,0,3
07-08-2025,Sikkim,East Sikkim,737133,2,1
11-07-2025,Sikkim,East Sikkim,737138,0,1
12-07-2025,Sikkim,East Sikkim,737132,1,0
25-08-2025,Sikkim,East Sikkim,737103,0,2
30-08-2025,Sikkim,East Sikkim,737132,0,5
27-08-2025,Sikkim,East Sikkim,737131,1,1
27-08-2025,Sikkim,East Sikkim,737133,0,3
31-08-2025,Sikkim,East Sikkim,737132,0,1
01-08-2025,Sikkim,East Sikkim,737138,0,1
02-08-2025,Sikkim,East Sikkim,737132,2,0
02-08-2025,Sikkim,East Sikkim,737133,0,1
02-08-2025,Sikkim,East Sikkim,737135,0,1
31-07-2025,Sikkim,East Sikkim,737101,0,9
21-08-2025,Sikkim,East Sikkim,737106,0,5
14-08-2025,Sikkim,East Sikkim,737107,0,3
14-08-2025,Sikkim,East Sikkim,737134,0,3
18-08-2025,Sikkim,East Sikkim,737133,1,2
26-08-2025,Sikkim,East Sikkim,737102,0,1
10-08-2025,Sikkim,East Sikkim,737134,0,1
07-07-2025,Sikkim,East Sikkim,737133,0,1
27-06-2025,Sikkim,East Sikkim,737131,1,5
05-07-2025,Sikkim,East Sikkim,737138,0,1
09-07-2025,Sikkim,East Sikkim,737107,0,2
08-07-2025,Sikkim,East Sikkim,737133,0,5
09-10-2025,Sikkim,East Sikkim,737102,12,5
09-10-2025,Sikkim,East Sikkim,737103,1,1
09-10-2025,Sikkim,East Sikkim,737132,1,0
09-10-2025,Sikkim,East Sikkim,737134,3,0
08-10-2025,Sikkim,East Sikkim,737102,7,1
24-10-2025,Sikkim,East Sikkim,737106,0,1
11-11-2025,Sikkim,East Sikkim,737101,1,0
11-11-2025,Sikkim,East Sikkim,737103,2,0
11-11-2025,Sikkim,East Sikkim,737134,1,0
15-10-2025,Sikkim,East Sikkim,737103,3,0
15-10-2025,Sikkim,East Sikkim,737106,1,0
15-10-2025,Sikkim,East Sikkim,737133,2,0
15-10-2025,Sikkim,East Sikkim,737134,1,2
15-10-2025,Sikkim,East Sikkim,737135,6,1
07-11-2025,Sikkim,East Sikkim,737101,7,4
07-11-2025,Sikkim,East Sikkim,737102,8,2
07-11-2025,Sikkim,East Sikkim,737135,2,2
08-11-2025,Sikkim,East Sikkim,737135,0,1
29-10-2025,Sikkim,East Sikkim,737107,1,0
29-10-2025,Sikkim,East Sikkim,737132,0,1
30-10-2025,Sikkim,East Sikkim,737101,3,1
30-10-2025,Sikkim,East Sikkim,737134,1,1
30-10-2025,Sikkim,East Sikkim,737135,4,1
